stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Users\kuoan\OneDrive\Desktop\fin\Group50_Project\allegro5.cfg r
display  D   display_settings.c:212  debug_display_settings           [   0.17960] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.17962] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.17963] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.17965] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.17967] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.17969] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.17970] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.17972] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.17973] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.17975] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.17976] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.17977] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.17979] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.17980] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.17982] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.17983] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.17985] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.17986] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.17988] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.17989] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.17990] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.17992] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.17993] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.17995] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.17996] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.17998] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.17999] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.18001] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18002] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.18004] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18005] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.18007] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18008] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.18010] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18011] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.18012] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18014] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.18015] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18017] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.18018] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18020] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.18021] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18023] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.18024] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18025] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.18027] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18028] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.18030] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18031] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.18033] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18034] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.18036] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18037] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.18039] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18040] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.18042] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18043] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.18044] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18046] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.18048] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18049] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.18051] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18052] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.18053] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18055] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.18056] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18058] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.18059] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.18061] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.18062] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.18063] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.18065] Score is : 598
display  D   display_settings.c:212  debug_display_settings           [   0.18066] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.18068] Score is : 593
display  D   display_settings.c:212  debug_display_settings           [   0.18069] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.18071] Score is : 589
display  D   display_settings.c:212  debug_display_settings           [   0.18072] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.18073] Score is : 587
display  D   display_settings.c:212  debug_display_settings           [   0.18075] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.18076] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.18078] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.18079] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.18081] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.18083] Score is : 598
display  D   display_settings.c:212  debug_display_settings           [   0.18084] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.18086] Score is : 593
display  D   display_settings.c:212  debug_display_settings           [   0.18087] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.18089] Score is : 589
display  D   display_settings.c:212  debug_display_settings           [   0.18090] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.18092] Score is : 587
display  D   display_settings.c:212  debug_display_settings           [   0.18093] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.18095] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.18096] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.18098] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.18099] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.18101] Score is : 598
display  D   display_settings.c:212  debug_display_settings           [   0.18102] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.18103] Score is : 593
display  D   display_settings.c:212  debug_display_settings           [   0.18105] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.18106] Score is : 589
display  D   display_settings.c:212  debug_display_settings           [   0.18108] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.18109] Score is : 587
display  D   display_settings.c:212  debug_display_settings           [   0.18110] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.18112] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.18113] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.18115] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.18116] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.18118] Score is : 598
display  D   display_settings.c:212  debug_display_settings           [   0.18119] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.18121] Score is : 593
display  D   display_settings.c:212  debug_display_settings           [   0.18122] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.18123] Score is : 589
display  D   display_settings.c:212  debug_display_settings           [   0.18125] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.18126] Score is : 587
display  D   display_settings.c:212  debug_display_settings           [   0.18128] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.18129] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.18131] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.18132] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.18133] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.18135] Score is : 598
display  D   display_settings.c:212  debug_display_settings           [   0.18136] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.18138] Score is : 593
display  D   display_settings.c:212  debug_display_settings           [   0.18139] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.18141] Score is : 589
display  D   display_settings.c:212  debug_display_settings           [   0.18142] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.18144] Score is : 587
display  D   display_settings.c:212  debug_display_settings           [   0.18145] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.18147] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.18148] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.18150] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.18151] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.18152] Score is : 598
display  D   display_settings.c:212  debug_display_settings           [   0.18154] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.18155] Score is : 593
display  D   display_settings.c:212  debug_display_settings           [   0.18157] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.18158] Score is : 589
display  D   display_settings.c:212  debug_display_settings           [   0.18159] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.18161] Score is : 587
display  D   display_settings.c:212  debug_display_settings           [   0.18162] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.18164] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.18165] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.18167] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.18168] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.18170] Score is : 598
display  D   display_settings.c:212  debug_display_settings           [   0.18171] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.18172] Score is : 593
display  D   display_settings.c:212  debug_display_settings           [   0.18174] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.18175] Score is : 589
display  D   display_settings.c:212  debug_display_settings           [   0.18177] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.18178] Score is : 587
display  D   display_settings.c:212  debug_display_settings           [   0.18180] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.18181] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.18182] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.18184] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.18185] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.18187] Score is : 598
display  D   display_settings.c:212  debug_display_settings           [   0.18188] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.18190] Score is : 593
display  D   display_settings.c:212  debug_display_settings           [   0.18191] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.18193] Score is : 589
display  D   display_settings.c:212  debug_display_settings           [   0.18194] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.18196] Score is : 587
display  D   display_settings.c:212  debug_display_settings           [   0.18197] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.18199] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18200] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.18202] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18203] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.18204] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18206] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.18207] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18209] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.18210] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18212] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.18213] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18214] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.18216] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18217] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.18219] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18220] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.18222] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18223] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.18225] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18226] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.18228] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18229] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.18230] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18232] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.18233] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18235] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.18236] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18238] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.18239] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18241] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.18242] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18244] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.18245] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18247] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.18248] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18249] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.18251] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18252] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.18254] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18255] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.18257] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18258] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.18260] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18261] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.18263] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18264] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.18266] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18267] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.18268] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18270] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.18271] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18273] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.18274] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18276] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.18277] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18279] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.18280] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18282] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.18284] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18285] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.18287] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18288] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.18290] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18291] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.18293] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18294] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.18295] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18297] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.18298] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18300] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.18301] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18303] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.18304] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18306] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.18307] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18308] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.18310] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18311] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.18313] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18314] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.18316] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18317] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.18319] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18320] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.18325] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18327] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.18329] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18330] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.18332] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18333] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
